position,artist,title,year,week,language
6,Benny Anderssons Orkester/Helen Sjöholm/Tommy Körberg,En Natt I Köpenhamn,2017,11,Swedish
7,Nano,Hold On,2017,11,English
8,Weeping Willows,My Love Is Not Blind,2017,11,English
9,Wiktoria,As I Lay Me Down,2017,11,English
10,Måns Zelmerlöw,Fire In The Rain,2017,11,English
1,Nano,Hold On,2017,12,English
2,Miriam Bryant,Black Car,2017,12,English
3,Laleh,Bara Få Va Mig Själv,2017,12,Swedish
4,Jill Johnson,Open Your Heart,2017,12,English
5,Jon Henrik Fjällgren feat. Aninia,En Värld Full Av Strider (Eatneme Gusnie Jeenh Dåaroeh),2017,12,Swedish
6,Magnus Carlson,Eternal Love,2017,12,Danish
7,Magnus Uggla,Världen Är Din,2017,12,Swedish
8,Wiktoria,As I Lay Me Down,2017,12,English
9,Robin Bengtsson,I Can't Go On,2017,12,English
10,Weeping Willows,My Love Is Not Blind,2017,12,English
1,Nano,Hold On,2017,13,English
2,Miriam Bryant,Black Car,2017,13,English
3,Laleh,Bara Få Va Mig Själv,2017,13,Swedish
4,Jill Johnson,Open Your Heart,2017,13,English
5,Magnus Carlson,Eternal Love,2017,13,Danish
6,Weeping Willows,My Love Is Not Blind,2017,13,English
7,Magnus Uggla,Världen Är Din,2017,13,Swedish
8,Wiktoria,As I Lay Me Down,2017,13,English
9,Robin Bengtsson,I Can't Go On,2017,13,English
10,Jon Henrik Fjällgren feat. Aninia,En Värld Full Av Strider (Eatneme Gusnie Jeenh Dåaroeh),2017,13,Swedish
1,Nano,Hold On,2017,14,English
2,Jill Johnson,Open Your Heart,2017,14,English
3,Miriam Bryant,Black Car,2017,14,English
4,Magnus Carlson,Eternal Love,2017,14,Danish
5,Magnus Uggla,Världen Är Din,2017,14,Swedish
6,Laleh,Bara Få Va Mig Själv,2017,14,Swedish
7,Wiktoria,As I Lay Me Down,2017,14,English
8,Weeping Willows,My Love Is Not Blind,2017,14,English
9,Robin Bengtsson,I Can't Go On,2017,14,English
10,Jon Henrik Fjällgren feat. Aninia,En Värld Full Av Strider (Eatneme Gusnie Jeenh Dåaroeh),2017,14,Swedish
