artist,country,language,title,year
Monica Zetterlund,Sweden,Swedish,En Gång I Stockholm,1963
Jacques Raymond,Belgium,Dutch,Waarom?,1963
Françoise Hardy,Monaco,French,L'amour S'en Va,1963
Nana Mouskouri,Luxembourg,French,A Force De Prier,1963
Hugues Aufray,Luxembourg,French,Dès Que Le Printemps Revient,1964
Anneke Grönloh,Netherlands,Dutch,Jij Bent Mijn Leven,1964
Arne Bendiksen,Norway,Norwegian,Spiral,1964
Bjørn Tidmand,Denmark,Danish,Sangen Om Dig,1964
Lasse Mårtenson,Finland,Finnish,Laiskotellen,1964
Udo Jürgens,Austria,German,"Warum Nur, Warum?",1964
Rachel,France,French,Chant De Mallory,1964
Matt Monro,United Kingdom,English,I Love The Little Things,1964
Nora Nova,Germany,German,Man Gewöhnt Sich So Schnell An Das Schöne,1964
Romuald,Monaco,French,Ou Sont-elles Passees?,1964
António Calvário,Portugal,Portuguese,Oração,1964
Gigliola Cinquetti,Italy,Italian,Non Ho L'età,1964
Sabahudin Kurt,Yugoslavia,Bosnian,Zivot Je Sklopio Krug,1964
Anita Traversi,Switzerland,Italian,I Miei Pensieri,1964
Robert Cogoi,Belgium,French,Près De Ma Rivière,1964
"Nelly, Tim & Tony (Los TNT)",Spain,Spanish,Caracola,1964
Conny Van Den Bos,Netherlands,Dutch,'t Is Genoeg,1965
Kathy Kirby,United Kingdom,English,I Belong,1965
Conchita Bautista,Spain,Spanish,"Qué Bueno, Que Bueno",1965
Butch Moore,Ireland,English,I'm Walking The Streets In The Rain,1965
Ulla Wiesner,Germany,German,"Paradies, Wo Bist Du?",1965
Udo Jürgens,Austria,German,"Sag Ihr, Ich Lass Sie Grüssen",1965
Kirsti Sparboe,Norway,Norwegian,Karusell,1965
Lize Marke,Belgium,Dutch,Als Het Weer Lente Is,1965
Marjorie Noël,Monaco,French,Va Dire À l'Amour,1965
Ingvar Wixell,Sweden,Swedish,Absent Friend,1965
Guy Mardel,France,French,N'avoue Jamais,1965
Simone de Oliveira,Portugal,Portuguese,Sol De Inverno,1965
Bobby Solo,Italy,Italian,"Se Piangi, Se Ridi",1965
Birgit Brüel,Denmark,Danish,For Din Skyld,1965
France Gall,Luxembourg,French,"Poupée De Cire, Poupée De Son",1965
Viktor Klimenko,Finland,Finnish,Aurinko Laskee Lånteen,1965
Vice Vukov,Yugoslavia,Croatian,Cežnja,1965
Yovanna,Switzerland,French,Non A Jamais Sans Toi,1965
Margot Eskens,Germany,German,Die Zeiger Der Uhr,1966
Ulla Pia,Denmark,Danish,"Stop, Mens Legen Er Go",1966
Tonia,Belgium,French,"Un Peu De Poivre, Un Peu De Sel",1966
Michèle Torr,Luxembourg,French,Ce Soir Je T'attendais,1966
Berta Ambrož,Yugoslavia,Slovenian,Brez Besed,1966
Åse Kleveland,Norway,Norwegian,Intet Er Nytt Under Solen,1966
Ann Christine Nyström,Finland,Finnish,Playboy,1966
Madalena Iglésias,Portugal,Portuguese,Ele E Ela,1966
Udo Jürgens,Austria,German,Merci Chérie,1966
Lill Lindfors & Svante Thuresson,Sweden,Swedish,Nygammal Vals,1966
Raphael,Spain,Spanish,Yo Soy Aquél,1966
Madeleine Pascal,Switzerland,French,Ne Vois-Tu Pas?,1966
Tereza Kesovija,Monaco,French,Bien Plus Fort,1966
Domenico Modugno,Italy,Italian,Dio Come Ti Amo,1966
Dominique Walter,France,French,Chez Nous,1966
Milly Scott,Netherlands,Dutch,Fernando & Philippo,1966
Dickie Rock,Ireland,English,Come Back To Stay,1966
Kenneth McKellar,United Kingdom,English,A Man Without Love,1966
Thérèse Steinmetz,Netherlands,Dutch,Ringe Ding,1967
Vicky Leandros,Luxembourg,French,L'amour Est Bleu,1967
Peter Horten,Austria,German,Warum Es Hunderttausend Sterne Gibt,1967
Noëlle Cordier,France,French,Il Doit Faire Beau La-bas,1967
Eduardo Nascimento,Portugal,Portuguese,O Vento Mudou,1967
Géraldine,Switzerland,French,Quel Coeur Vas-tu Briser?,1967
Östen Warnerbring,Sweden,Swedish,Som En Dröm,1967
Fredi,Finland,Finnish,Varjoon-suojaan,1967
Inge Brück,Germany,German,Anouschka,1967
Louis Neefs,Belgium,Dutch,"Oh, Oh Ik Heb Zorgen",1967
Sandie Shaw,United Kingdom,English,Puppet On A String,1967
Raphael,Spain,Spanish,Hablemos Del Amor,1967
Kirsti Sparboe,Norway,Norwegian,Dukkemann,1967
Minouche Barelli,Monaco,French,Boum Badaboum,1967
Lado Leskovar,Yugoslavia,Slovenian,Vse Rože Sveta,1967
Claudio Villa,Italy,Italian,Non Andare Più Lontano,1967
Sean Dunphy,Ireland,English,If I Could Choose,1967
Carlos Mendes,Portugal,Portuguese,Verão,1968
Ronnie Tober,Netherlands,Dutch,Morgen,1968
Claude Lombard,Belgium,French,Quand Tu Reviendras,1968
Karel Gott,Austria,German,Tausend Fenster,1968
Chris Baldo & Sophie Garel,Luxembourg,French,Nous Vivrons D'amour,1968
Gianni Mascolo,Switzerland,Italian,Guardando Il Sole,1968
Line & Willy,Monaco,French,A Chacun Sa Chanson,1968
Claes-Göran Hederström,Sweden,Swedish,Det Börjar Verka Kärlek Banne Mej,1968
Kristina Hautala,Finland,Finnish,Kun Kello Käy,1968
Isabelle Aubret,France,French,La Source,1968
Sergio Endrigo,Italy,Italian,Marianne,1968
Cliff Richard,United Kingdom,English,Congratulations,1968
Odd Børre,Norway,Norwegian,Stress,1968
Pat McGeegan,Ireland,English,Chance Of A Lifetime,1968
Massiel,Spain,Spanish,La La La,1968
Wencke Myhre,Germany,German,Ein Hoch Der Liebe,1968
Luci Kapurso & Hamo Hajdarhodzic,Yugoslavia,Croatian,Jedan Dan,1968
Ivan,Yugoslavia,Croatian,Pozdrav Svijetu,1969
Romuald,Luxembourg,French,Catherine,1969
Salomé,Spain,Spanish,Vivo Cantando,1969
Jean-Jacques,Monaco,French,"Maman, Maman",1969
Muriel Day & the Lindsays,Ireland,English,The Wages Of Love,1969
Iva Zanicchi,Italy,Italian,Due Grosse Lacrime Bianche,1969
Lulu,United Kingdom,English,Boom Bang-a-bang,1969
Lenny Kuhr,Netherlands,Dutch,De Troubadour,1969
Tommy Körberg,Sweden,Swedish,Judy Min Vän,1969
Louis Neefs,Belgium,Dutch,Jennifer Jennings,1969
Paola del Medico,Switzerland,German,"Bonjour, Bonjour",1969
Kirsti Sparboe,Norway,Norwegian,"Oj, Oj, Oj, Sa Glad Jeg Skal Bli",1969
Siw Malmkvist,Germany,German,Primaballerina,1969
Frida Boccara,France,French,"Un Jour, Un Enfant",1969
Simone de Oliveira,Portugal,Portuguese,Desfolhada Portuguêsa,1969
Jarkko & Laura,Finland,Finnish,Kuin Silloin Ennen,1969
The Hearts Of Soul,Netherlands,Dutch,Waterman,1970
Henri Dès,Switzerland,French,Retour,1970
Gianni Morandi,Italy,Italian,Occhi Di Ragazza,1970
Eva Sršen,Yugoslavia,Slovenian,"Pridi, Dala Ti Bom Cvet",1970
Jean Vallée,Belgium,French,Viens L'oublier,1970
Guy Bonnet,France,French,Marie Blanche,1970
Mary Hopkin,United Kingdom,English,"Knock,  Knock Who's There?",1970
David-Alexandre Winter,Luxembourg,French,Je Suis Tombé Du Ciel,1970
Julio Iglesias,Spain,Spanish,Gwendolyne,1970
Dominique Dussault,Monaco,French,Marlène,1970
Katja Ebstein,Germany,German,Wunder Gibt Es Immer Wieder,1970
Dana,Ireland,English,All Kinds Of Everything,1970
Marianne Mendt,Austria,German - Viennese,Musik,1971
Joe Grech,Malta,Maltese,Marija L-maltija,1971
Séverine,Monaco,French,"Un Banc, Un Arbre, Une Rue",1971
"Peter, Sue & Marc",Switzerland,French,Les Illusions De Nos Vingt Ans,1971
Katja Ebstein,Germany,German,Diese Welt,1971
Karina,Spain,Spanish,En Un Mundo Nuevo,1971
Serge Lama,France,French,Un Jardin Sur La Terre,1971
Monique Melsen,Luxembourg,French,"Pomme, Pomme, Pomme",1971
Clodagh Rodgers,United Kingdom,English,Jack In The Box,1971
Lily Castel & Jacques Raymond,Belgium,Dutch,"Goeie Morgen, Morgen",1971
Massimo Ranieri,Italy,Italian,L'amore E Un Attimo,1971
Family Four,Sweden,Swedish,Vita Vidder,1971
Angela Farrell,Ireland,English,One Day Love,1971
Saskia & Serge,Netherlands,Dutch,De Tijd,1971
Tonicha,Portugal,Portuguese,Menina,1971
Krunoslav Slabinac,Yugoslavia,Croatian,Tvoj Dječak Je Tužan,1971
Markku Aro & Koivisto sisters,Finland,Finnish,Tie Uuteen Paivaan,1971
