artist,country,place_final,points_final,title,year
Michael Rice,United Kingdom,26.0,11.0,Bigger Than Us,2019
Eugent Bushpepa,Albania,11.0,184.0,Mall,2018
Sevak Khanagyan,Armenia,,,Qami,2018
Jessica Mauboy,Australia,20.0,99.0,We Got Love,2018
Cesár Sampson,Austria,3.0,342.0,Nobody But You,2018
Aisel,Azerbaijan,,,X My Heart,2018
ALEKSEEV,Belarus,,,FOREVER,2018
Sennek,Belgium,,,A Matter Of Time,2018
EQUINOX,Bulgaria,14.0,166.0,Bones,2018
Franka,Croatia,,,Crazy,2018
Eleni Foureira,Cyprus,2.0,436.0,Fuego,2018
Mikolas Josef,Czech Republic,6.0,281.0,Lie To Me,2018
Rasmussen,Denmark,9.0,226.0,Higher Ground,2018
Elina Nechayeva,Estonia,8.0,245.0,La Forza,2018
Saara Aalto,Finland,25.0,46.0,Monsters,2018
Madame Monsieur,France,13.0,173.0,Mercy,2018
Ethno-Jazz Band Iriao,Georgia,,,For You,2018
Michael Schulte,Germany,4.0,340.0,You Let Me Walk Alone,2018
Yianna Terzi,Greece,,,Oniro Mou,2018
AWS,Hungary,21.0,93.0,Viszlát Nyár,2018
Ari Ólafsson,Iceland,,,Our Choice,2018
Ryan O'Shaughnessy,Ireland,16.0,136.0,Together,2018
Netta,Israel,1.0,529.0,TOY,2018
Ermal Meta e Fabrizio Moro,Italy,5.0,308.0,Non Mi Avete Fatto Niente,2018
Laura Rizzotto,Latvia,,,Funny Girl,2018
Ieva Zasimauskaitė,Lithuania,12.0,181.0,When We're Old,2018
Christabelle,Malta,,,Taboo,2018
DoReDoS,Moldova,10.0,209.0,My Lucky Day,2018
Vanja Radovanović,Montenegro,,,Inje,2018
Waylon,Netherlands,18.0,121.0,Outlaw In 'Em,2018
Eye Cue,North Macedonia,,,Lost And Found,2018
Alexander Rybak,Norway,15.0,144.0,That's How You Write A Song,2018
Gromee feat. Lukas Meijer,Poland,,,Light Me Up,2018
Cláudia Pascoal,Portugal,26.0,39.0,O Jardim,2018
The Humans,Romania,,,Goodbye,2018
Julia Samoylova,Russia,,,I Won't Break,2018
Jessika featuring Jenifer Brening,San Marino,,,Who We Are,2018
Sanja Ilić & Balkanika,Serbia,19.0,113.0,Nova Deca,2018
Lea Sirk,Slovenia,22.0,64.0,"Hvala, ne!",2018
Amaia y Alfred,Spain,23.0,61.0,Tu Canción,2018
Benjamin Ingrosso,Sweden,7.0,274.0,Dance You Off,2018
ZiBBZ,Switzerland,,,Stones,2018
MELOVIN,Ukraine,17.0,130.0,Under The Ladder,2018
SuRie,United Kingdom,24.0,48.0,Storm,2018
Lindita,Albania,,,World,2017
Artsvik,Armenia,18.0,79.0,Fly With Me,2017
Isaiah,Australia,9.0,173.0,Don't Come Easy,2017
Nathan Trent,Austria,16.0,93.0,Running On Air,2017
Dihaj,Azerbaijan,14.0,120.0,Skeletons,2017
Naviband,Belarus,17.0,83.0,Story of My Life,2017
Blanche,Belgium,4.0,363.0,City Lights,2017
Kristian Kostov,Bulgaria,2.0,615.0,Beautiful Mess,2017
Jacques Houdek,Croatia,13.0,128.0,My Friend,2017
Hovig,Cyprus,21.0,68.0,Gravity,2017
Martina Bárta,Czech Republic,,,My Turn,2017
Anja,Denmark,20.0,77.0,Where I Am,2017
Koit Toome & Laura,Estonia,,,Verona,2017
Norma John,Finland,,,Blackbird,2017
Alma,France,12.0,135.0,Requiem,2017
Tamara Gachechiladze,Georgia,,,Keep The Faith,2017
Levina,Germany,25.0,6.0,Perfect Life,2017
Demy,Greece,19.0,77.0,This is Love,2017
Joci Pápai,Hungary,8.0,200.0,Origo,2017
Svala,Iceland,,,Paper,2017
Brendan Murray,Ireland,,,Dying to Try,2017
IMRI,Israel,23.0,39.0,I Feel Alive,2017
Francesco Gabbani,Italy,6.0,334.0,Occidentali's Karma,2017
Triana Park,Latvia,,,Line,2017
Fusedmarc,Lithuania,,,Rain Of Revolution,2017
Claudia Faniello,Malta,,,Breathlessly,2017
Sunstroke Project,Moldova,3.0,374.0,Hey Mamma,2017
Slavko Kalezić,Montenegro,,,Space,2017
OG3NE,Netherlands,11.0,150.0,Lights and Shadows,2017
Jana Burčeska,North Macedonia,,,Dance Alone,2017
JOWST,Norway,10.0,158.0,Grab The Moment,2017
Kasia Moś,Poland,22.0,64.0,Flashlight,2017
Salvador Sobral,Portugal,1.0,758.0,Amar Pelos Dois,2017
Ilinca ft. Alex Florea,Romania,7.0,282.0,Yodel It!,2017
Valentina Monetta and Jimmie Wilson,San Marino,,,Spirit of the Night,2017
Tijana Bogićević,Serbia,,,In Too Deep,2017
Omar Naber,Slovenia,,,On My Way,2017
Manel Navarro,Spain,26.0,5.0,Do It For Your Lover,2017
Robin Bengtsson,Sweden,5.0,344.0,I Can't Go On,2017
Timebelle,Switzerland,,,Apollo,2017
O.Torvald,Ukraine,24.0,36.0,Time,2017
Lucie Jones,United Kingdom,15.0,111.0,Never Give Up On You,2017
Eneda Tarifa,Albania,,,Fairytale,2016
Iveta Mukuchyan,Armenia,7.0,249.0,LoveWave,2016
Dami Im,Australia,2.0,511.0,Sound Of Silence,2016
ZOË,Austria,13.0,151.0,Loin d'ici,2016
Samra,Azerbaijan,17.0,117.0,Miracle,2016
IVAN,Belarus,,,Help You Fly,2016
Laura Tesoro,Belgium,10.0,181.0,What's The Pressure,2016
Dalal & Deen feat. Ana Rucner and Jala,Bosnia & Herzegovina,,,Ljubav Je,2016
Poli Genova,Bulgaria,4.0,307.0,If Love Was A Crime,2016
Nina Kraljić,Croatia,23.0,73.0,Lighthouse,2016
Minus One,Cyprus,21.0,96.0,Alter Ego,2016
Gabriela Gunčíková,Czech Republic,25.0,41.0,I Stand,2016
Lighthouse X,Denmark,,,Soldiers Of Love,2016
Jüri Pootsmann,Estonia,,,Play,2016
Sandhja,Finland,,,Sing It Away,2016
Amir,France,6.0,257.0,J'ai cherché,2016
Nika Kocharov and Young Georgian Lolitaz,Georgia,20.0,104.0,Midnight Gold,2016
Jamie-Lee,Germany,26.0,11.0,Ghost,2016
Argo,Greece,,,Utopian Land,2016
Freddie,Hungary,19.0,108.0,Pioneer,2016
Greta Salóme,Iceland,,,Hear Them Calling,2016
Nicky Byrne,Ireland,,,Sunlight,2016
Hovi Star,Israel,14.0,135.0,Made Of Stars,2016
Francesca Michielin,Italy,16.0,124.0,No Degree Of Separation,2016
Justs,Latvia,15.0,132.0,Heartbeat,2016
Donny Montell,Lithuania,9.0,200.0,I've Been Waiting for This Night,2016
Ira Losco,Malta,12.0,153.0,Walk On Water,2016
Lidia Isac,Moldova,,,Falling Stars,2016
Highway,Montenegro,,,The Real Thing,2016
Douwe Bob,Netherlands,11.0,153.0,Slow Down,2016
Kaliopi,North Macedonia,,,Dona,2016
Agnete,Norway,,,Icebreaker,2016
Michał Szpak,Poland,8.0,229.0,Color Of Your Life,2016
Sergey Lazarev,Russia,3.0,491.0,You Are The Only One,2016
Serhat,San Marino,,,I Didn't Know,2016
Sanja Vučić ZAA,Serbia,18.0,115.0,Goodbye (Shelter),2016
ManuElla,Slovenia,,,Blue And Red,2016
Barei,Spain,22.0,77.0,Say Yay!,2016
Frans,Sweden,5.0,261.0,If I Were Sorry,2016
Rykka,Switzerland,,,The Last Of Our Kind,2016
Jamala,Ukraine,1.0,534.0,1944,2016
Joe and Jake,United Kingdom,24.0,62.0,You're Not Alone,2016
Elhaida Dani,Albania,17.0,34.0,I'm Alive,2015
Genealogy,Armenia,16.0,34.0,Face The Shadow,2015
Guy Sebastian,Australia,5.0,196.0,Tonight Again,2015
The Makemakes,Austria,26.0,0.0,I Am Yours,2015
Elnur Huseynov,Azerbaijan,12.0,49.0,Hour Of The Wolf,2015
Uzari&Maimuna,Belarus,,,Time,2015
Loïc Nottet,Belgium,4.0,217.0,Rhythm Inside,2015
John Karayiannis,Cyprus,22.0,11.0,One Thing I Should Have Done,2015
Marta Jandová and Václav Noid Bárta,Czech Republic,,,Hope Never Dies,2015
Anti Social Media,Denmark,,,The Way You Are,2015
Elina Born & Stig Rästa,Estonia,7.0,106.0,Goodbye To Yesterday,2015
Pertti Kurikan Nimipäivät,Finland,,,Aina Mun Pitää,2015
Lisa Angell,France,25.0,4.0,N'oubliez Pas,2015
Nina Sublatti,Georgia,11.0,51.0,Warrior,2015
Ann Sophie,Germany,27.0,0.0,Black Smoke,2015
Maria Elena Kyriakou,Greece,19.0,23.0,One Last Breath,2015
Boggie,Hungary,20.0,19.0,Wars For Nothing,2015
Maria Olafs,Iceland,,,Unbroken,2015
Molly Sterling,Ireland,,,Playing With Numbers,2015
Nadav Guedj,Israel,9.0,97.0,Golden Boy,2015
Il Volo,Italy,3.0,292.0,Grande Amore,2015
Aminata,Latvia,6.0,186.0,Love Injected,2015
Monika Linkytė and Vaidas Baumila,Lithuania,18.0,30.0,This Time,2015
Amber,Malta,,,Warrior,2015
Eduard Romanyuta,Moldova,,,I Want Your Love,2015
Knez,Montenegro,13.0,44.0,Adio,2015
Trijntje Oosterhuis,Netherlands,,,Walk Along,2015
Daniel Kajmakoski,North Macedonia,,,Autumn Leaves,2015
Mørland & Debrah Scarlett,Norway,8.0,102.0,A Monster Like Me,2015
Monika Kuszyńska,Poland,23.0,10.0,In The Name Of Love,2015
Leonor Andrade,Portugal,,,Há Um Mar Que Nos Separa,2015
Voltaj,Romania,15.0,35.0,De La Capat/ All Over Again,2015
Polina Gagarina,Russia,2.0,303.0,A Million Voices,2015
Anita Simoncini & Michele Perniola,San Marino,,,Chain of Lights,2015
Bojana Stamenov,Serbia,10.0,53.0,Beauty Never Lies,2015
Maraaya,Slovenia,14.0,39.0,Here For You,2015
Edurne,Spain,21.0,15.0,Amanecer,2015
Måns Zelmerlöw,Sweden,1.0,365.0,Heroes,2015
Mélanie René,Switzerland,,,Time To Shine,2015
Electro Velvet,United Kingdom,24.0,5.0,Still In Love With You,2015
Hersi,Albania,,,One Night's Anger,2014
Aram MP3,Armenia,4.0,174.0,Not Alone,2014
Conchita Wurst,Austria,1.0,290.0,Rise Like a Phoenix,2014
Dilara Kazimova,Azerbaijan,22.0,33.0,Start A Fire,2014
Teo,Belarus,16.0,43.0,Cheesecake,2014
Axel Hirsoux,Belgium,,,Mother,2014
Basim,Denmark,9.0,74.0,Cliche Love Song,2014
Tanja,Estonia,,,Amazing,2014
Softengine,Finland,11.0,72.0,Something Better,2014
TWIN TWIN,France,26.0,2.0,Moustache,2014
The Shin and Mariko,Georgia,,,Three Minutes to Earth,2014
Elaiza,Germany,18.0,39.0,Is it right,2014
Freaky Fortune feat. RiskyKidd,Greece,20.0,35.0,Rise Up,2014
András Kállay-Saunders,Hungary,5.0,143.0,Running,2014
Pollapönk,Iceland,15.0,58.0,No Prejudice,2014
Can-Linn (featuring Kasey Smith),Ireland,,,Heartbeat,2014
Mei Finegold,Israel,,,Same Heart,2014
Emma,Italy,21.0,33.0,La Mia Città,2014
Aarzemnieki,Latvia,,,Cake To Bake,2014
Vilija Matačiūnaitė,Lithuania,,,Attention,2014
Firelight,Malta,23.0,32.0,Coming Home,2014
Cristina Scarlat,Moldova,,,Wild Soul,2014
Sergej Ćetković,Montenegro,19.0,37.0,Moj Svijet,2014
The Common Linnets,Netherlands,2.0,238.0,Calm After The Storm,2014
Tijana,North Macedonia,,,To the Sky,2014
Carl Espen,Norway,8.0,88.0,Silent Storm,2014
Donatan & Cleo,Poland,14.0,62.0,My Słowianie - We Are Slavic,2014
Suzy,Portugal,,,Quero Ser Tua,2014
Paula Seling & OVI,Romania,12.0,72.0,Miracle,2014
Tolmachevy Sisters,Russia,7.0,89.0,Shine,2014
Valentina Monetta,San Marino,24.0,14.0,Maybe (Forse),2014
Tinkara Kovač,Slovenia,25.0,9.0,Round and round,2014
Ruth Lorenzo,Spain,10.0,74.0,Dancing in the rain,2014
Sanna Nielsen,Sweden,3.0,218.0,Undo,2014
Sebalter,Switzerland,13.0,64.0,Hunter Of Stars,2014
Mariya Yaremchuk,Ukraine,6.0,113.0,Tick - Tock,2014
Molly,United Kingdom,17.0,40.0,Children of the Universe,2014
Adrian Lulgjuraj & Bledar Sejko,Albania,,,Identitet,2013
Dorians,Armenia,18.0,41.0,Lonely Planet,2013
Natália Kelly,Austria,,,Shine,2013
Farid Mammadov,Azerbaijan,2.0,234.0,Hold Me,2013
Alyona Lanskaya,Belarus,16.0,48.0,Solayoh,2013
Roberto Bellarosa,Belgium,12.0,71.0,Love Kills,2013
"Elitsa Todorova, Stoyan Yankulov",Bulgaria,,,Samo Shampioni (Only Champions),2013
Klapa s mora,Croatia,,,Mižerja,2013
Despina Olympiou,Cyprus,,,An Me Thimasai,2013
Emmelie de Forest,Denmark,1.0,281.0,Only Teardrops,2013
Birgit,Estonia,20.0,19.0,Et Uus Saaks Alguse,2013
Krista Siegfrids,Finland,24.0,13.0,Marry Me,2013
Amandine Bourgeois,France,23.0,14.0,L'enfer Et Moi,2013
Nodi Tatishvili & Sophie Gelovani,Georgia,15.0,50.0,Waterfall,2013
Cascada,Germany,21.0,18.0,Glorious,2013
Koza Mostra feat. Agathon Iakovidis,Greece,6.0,152.0,Alcohol Is Free,2013
ByeAlex,Hungary,10.0,84.0,Kedvesem (Zoohacker Remix),2013
